crew, tier, rarity, CMD_core, CMD_min, CMD_max, SCI_core, SCI_min, SCI_max, SEC_core, SEC_min, SEC_max, ENG_core, ENG_min, ENG_max, DIP_core, DIP_min, DIP_max, MED_core, MED_min, MED_max, V_CMD_SCI, V_CMD_SEC, V_CMD_ENG, V_CMD_DIP, V_CMD_MED, V_SCI_SEC, V_SCI_ENG, V_SCI_DIP, V_SCI_MED, V_SEC_ENG, V_SEC_DIP, V_SEC_MED, V_ENG_DIP, V_ENG_MED, V_DIP_MED, G_CMD_SCI, G_CMD_SEC, G_CMD_ENG, G_CMD_DIP, G_CMD_MED, G_SCI_SEC, G_SCI_ENG, G_SCI_DIP, G_SCI_MED, G_SEC_ENG, G_SEC_DIP, G_SEC_MED, G_ENG_DIP, G_ENG_MED, G_DIP_MED, voyage_rank, gauntlet_rank, traits, hidden_traits, action_name, action_bonus_type, action_bonus_amount, action_initial_cooldown, action_duration, action_cooldown, bonus_ability, trigger, uses_per_battle, penalty_type, penalty_amount, accuracy, crit_bonus, crit_chance, evasion, charge_phases, short_name, image_name, symbol, shuttle_rank, collections_rank, ship_rank, overall_rank, stat_collections, crew_collections, vanity_collections, potential_collections
"Ensign Kim",0,1, 0,0,0,0,0,0,0,0,0,250,28,98,0,0,0,0,0,0,0,0,1531,0,0,0,1265,0,0,1388,0,0,1579,1008,0,0,0,1518,0,0,0,1263,0,0,1372,0,0,1561,1005,0,1907,1907,"Starfleet, Federation, Human, Musician","male, organic, voy, kim, crew_max_rarity_1","Starfleet Training",0, 2, 8, 10, 12, , , , 2, 1, 130, 25, 28, 170, false,"Kim",crew_portraits_cm_kimensign_sm.png,kim_ensign_crew, 7.6057, 28.6585, 6.9429, 25.2671, 4, 0, 0, 0
"Mirror Archer",0,4, 633,186,409,0,0,0,531,120,243,228,52,100,0,0,0,0,0,0,991,559,668,1162,752,1118,1267,0,0,837,1370,897,1586,1012,0,548,248,248,778,371,967,1236,0,0,620,1252,801,1528,991,0,1606,1083,"Human, Starfleet, Terran Empire, Pilot, Explorer, Mirror Universe","male, organic, ent, archer, crew_max_rarity_4","Ambitious Gambit",0, 6, 12, 12, 12, 5, 4, , , , 1180, 10, 259, 625, false,"Archer",crew_portraits_cm_archermirror_sm.png,archer_mirror_crew, 42.6077, 32.9268, 23.1997, 44.702, 4, 0, 0, 38.9816
"Maquis Eddington",0,4, 546,102,247,0,0,0,726,94,241,0,0,0,0,0,0,0,0,0,1179,575,1123,1330,958,941,0,0,0,885,1225,735,0,0,0,1097,540,1034,1252,889,1046,0,0,0,992,1318,869,0,0,0,1717,1701,"Human, Maquis, Desperate","male, organic, ds9, eddington, crew_max_rarity_4","Higher Cause",0, 6, 12, 5, 12, 1, 0, , , , 100, 815, 200, 350, false,"Eddington",crew_portraits_cm_eddington_sm.png,eddington_maquis_crew, 39.0182, 11.5854, 58.0247, 33.3325, 1, 0, 0, 18.9382
"Lt. Tasha Yar",0,2, 0,0,0,0,0,0,338,41,123,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,1533,0,0,0,1355,1651,1208,0,0,0,0,1496,0,0,0,1522,0,0,0,1340,1644,1204,0,0,0,1897,1903,"Human, Starfleet, Federation, Survivalist, Duelist, Athlete","female, organic, tng, yar, crew_max_rarity_2","Judo Throw",2, 2, 6, 3, 10, 1, 0, , , , 405, 125, 97, 230, false,"Yar",crew_portraits_cm_yartng_sm.png,yar_tng_crew, 10.4191, 33.5366, 34.1709, 32.526, 4, 0, 0, 0
"Ensign Mayweather",0,1, 203,63,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,1530,1532,1664,1384,0,0,0,0,0,0,0,0,0,0,1454,1421,1401,1533,1251,0,0,0,0,0,0,0,0,0,0,1908,1895,"Human, Starfleet, Pilot","male, organic, ent, mayweather, crew_max_rarity_1","Thruster Burn",1, 3, 3, 10, 6, , , 2, , , 170, 140, , 115, false,"Mayweather",crew_portraits_cm_mayweatherensign_sm.png,mayweather_ensign_crew, 6.1894, 20.5285, 6.9323, 22.5264, 3, 0, 0, 19.74
"Lt. Thomas Riker",0,1, 0,0,0,0,0,0,250,18,56,198,15,59,0,0,0,0,0,0,0,1538,1555,0,0,1581,1279,0,0,1251,1685,1251,1599,1022,0,0,1551,1558,0,0,1592,1284,0,0,1356,1701,1260,1607,1025,0,1888,1905,"Human, Federation, Starfleet, Survivalist, Resourceful, Desperate, Romantic","male, organic, tng, riker, crew_max_rarity_1","Wait a Little Longer",1, 1, 0, 10, 14, 6, 0, , , , 230, 100, 120, 95, true,"Riker",crew_portraits_cm_rikerdirty_sm.png,riker_thomas_dirty_crew, 13.7369, 50.6098, 42.136, 56.5111, 4, 0, 0, 0
"Temporal Agent Seven",0,4, 0,0,0,599,166,327,586,31,72,512,35,76,0,0,0,0,0,0,1054,1327,1346,0,0,445,364,1068,589,637,1462,1009,1405,876,0,767,1533,1530,0,0,507,371,801,425,1271,1689,1245,1574,1010,0,1566,1691,"Human, Borg, Civilian, Federation, Undercover Operative, Temporal Agent, Astrophysicist","nonhuman, female, organic, voy, seven, crew_max_rarity_4","Scientific Investigation",2, 7, 12, 12, 12, , , , , , 815, , 125, 850, false,"Seven",crew_portraits_cm_seventemporalagent_sm.png,seven_temporal_crew, 52.1537, 31.9106, 12.07, 43.981, 5, 0, 0, 21.0401
"Ambassador Spock",0,4, 0,0,0,606,102,251,232,122,296,0,0,0,567,224,447,0,0,0,1113,1489,0,1166,0,663,798,403,624,1340,829,1191,1012,0,820,1107,1010,0,629,0,228,763,132,606,846,100,725,375,0,276,1533,368,"Federation, Starfleet, Civilian, Exobiology, Musician, Astrophysicist, Human, Vulcan, Diplomat, Telepath, Ambassador","nonhuman, male, organic, tos, spock, crew_max_rarity_4","Cowboy Diplomacy",0, 6, 12, 12, 12, 5, 2, , , , 400, 355, 153, 1850, false,"Spock",crew_portraits_cm_spockambassador_sm.png,spock_ambassador_crew, 43.3644, 42.2764, 18.6332, 54.8704, 5, 0, 0, 59.3283
"Warship Yar",0,4, 415,101,237,0,0,0,856,97,196,0,0,0,0,0,0,0,0,0,1402,596,1339,1497,1196,902,0,0,0,843,1189,696,0,0,0,1125,620,1063,1285,915,1167,0,0,0,1094,1402,971,0,0,0,1721,1730,"Human, Starfleet, Duelist, Federation, Tactician, Desperate, Survivalist, Hero, Romantic","female, organic, tng, yar, jan2024, crew_max_rarity_4","Extra Firepower",0, 6, 12, 5, 12, 1, 0, 2, , , 830, 700, 332, , false,"Yar",crew_portraits_cm_yaralternate_sm.png,yar_alternate_crew, 39.057, 24.187, 42.6356, 36.5835, 2, 0, 1, 21.0834
"General Martok",0,4, 489,129,294,0,0,0,721,123,334,0,0,0,0,0,0,0,0,0,1214,545,1164,1350,992,919,0,0,0,863,1212,717,0,0,0,943,316,868,1125,736,772,0,0,0,739,1018,619,0,0,0,1709,1543,"Klingon, Duelist, Tactician, Diplomat, Veteran, Politician","nonhuman, male, organic, ds9, martok, crew_max_rarity_4","Trial of Blood",0, 6, 14, 10, 14, 0, 1, , , , 840, 555, 25, , false,"Martok",crew_portraits_cm_martokgeneral_sm.png,martok_general_crew, 37.1362, 44.1057, 30.1882, 40.069, 5, 0, 0, 0
"1701 Sisko",0,5, 957,243,539,0,0,0,1031,64,139,0,0,0,513,87,173,0,0,0,591,177,535,370,393,791,0,1281,0,735,333,590,1293,0,1083,227,232,221,184,128,1444,0,1306,0,1299,1008,1158,1311,0,1105,898,888,"Human, Federation, Starfleet, Tribbled, Bajoran, Cultural Figure, Inspiring, Undercover Operative, Chef, Displaced","male, organic, ds9, sisko, crew_max_rarity_5","Times Past",1, 9, 12, 10, 14, 4, 4, , , , 590, 380, 190, 750, false,"Sisko",crew_portraits_cm_siskotos_sm.png,sisko_tos_crew, 76.7753, 64.8374, 21.3056, 70.0438, 8, 0, 0, 0
"1701 Jadzia Dax",0,4, 0,0,0,813,61,128,301,60,122,510,38,103,0,0,0,0,0,0,995,1519,1340,0,0,585,344,1023,554,860,1661,1226,1399,871,0,1527,1480,1506,0,0,962,796,1475,953,1014,1628,1187,1545,996,0,1626,1780,"Federation, Starfleet, Exobiology, Astrophysicist, Trill, Gambler, Undercover Operative, Tribbled, Pilot, Displaced","nonhuman, female, organic, ds9, dax, crew_max_rarity_4","Who You've Been",1, 7, 8, 10, 8, , , , , , 1140, 20, 225, 1390, false,"J. Dax",crew_portraits_cm_jadziadaxtos_sm.png,dax_jadzia_tos_crew, 49.9224, 48.1707, 15.4393, 45.2679, 7, 0, 0, 40.7801
"Phoenix Cochrane",0,5, 0,0,0,925,101,237,0,0,0,1150,174,338,505,73,153,0,0,0,896,0,467,1470,0,848,60,373,495,477,1497,0,157,187,1132,1137,0,629,1518,0,1050,149,656,636,626,1557,0,285,296,1188,902,1184,"Human, Civilian, Warp Theorist, Innovator, Cultural Figure, Inspiring, Pilot","male, organic, tng, cochrane, crew_max_rarity_5","No Regrets",1, 9, 6, 10, 10, , , , , , 475, 220, 497, 725, false,"Cochrane",crew_portraits_cm_cochranefirstcontact_sm.png,cochrane_firstcontact_crew, 79.1424, 46.3415, 19.6031, 69.855, 4, 0, 0, 19.74
"Arachnia Janeway",0,5, 852,82,183,0,0,0,413,76,170,0,0,0,1109,239,501,0,0,0,970,650,908,176,735,1380,0,561,0,1246,230,1093,493,0,392,1289,808,1248,217,1093,1300,0,357,0,1185,171,1058,290,0,217,935,892,"Human, Federation, Starfleet, Resourceful, Costumed","female, organic, voy, janeway, crew_max_rarity_5","Spider's Pheromones",1, 8, 6, 15, 20, 7, 0, 2, , , 300, 510, 337, 1150, false,"Janeway",crew_portraits_cm_janewayarachnia_sm.png,janeway_arachnia_crew, 72.9142, 56.3008, 51.168, 68.0379, 4, 0, 1, 0
"Captain Proton Paris",0,4, 618,155,328,0,0,0,427,128,415,315,111,217,0,0,0,0,0,0,1036,627,545,1209,796,1159,1175,0,0,713,1388,922,1471,923,0,768,207,187,961,557,578,795,0,0,168,827,435,1121,635,0,1577,532,"Human, Starfleet, Federation, Hero, Romantic, Pilot, Costumed","organic, male, voy, paris, crew_max_rarity_4","Jetpack Thrusters",1, 8, 6, 10, 10, , , 3, , , 1225, 430, 275, 990, false,"Paris",crew_portraits_cm_parisproton_sm.png,paris_proton_crew, 41.5988, 32.3171, 13.1096, 46.9553, 3, 0, 1, 40.8234
"Mademoiselle de Neuf",0,5, 0,0,0,777,166,441,954,254,516,441,182,358,0,0,0,0,0,0,917,735,1147,0,0,46,191,946,510,145,796,353,1169,671,0,546,448,587,0,0,21,27,569,291,19,364,160,630,274,0,904,72,"Human, Borg, Civilian, Federation, Costumed, Saboteur, Musician","nonhuman, female, organic, voy, seven, crew_max_rarity_5","Discontinue Activity",2, 8, 4, 14, 16, 5, 0, , , , , 485, 405, 890, false,"Seven",crew_portraits_cm_sevenwwii_sm.png,seven_wwii_crew, 66.8219, 55.2846, 60.4913, 77.8972, 6, 0, 0, 0
"Mirror Uhura",0,4, 0,0,0,0,0,0,424,219,460,0,0,0,647,184,411,0,0,0,0,1171,0,1157,0,1066,0,1016,0,988,458,846,996,0,807,0,544,0,810,0,306,0,608,0,343,47,209,545,0,441,1697,848,"Brutal, Terran Empire, Starfleet, Human, Musician, Communicator, Mirror Universe","female, organic, tos, uhura, crew_max_rarity_4","Rules of the Game",2, 7, 4, 14, 14, 5, 0, , , , 355, 135, 209, 765, false,"Uhura",crew_portraits_cm_mirroruhura_sm.png,uhura_mirror_crew, 33.0423, 56.9106, 44.4656, 48.1399, 5, 0, 0, 19.2416
"Mirror Kirk",0,5, 1020,235,494,0,0,0,925,202,390,0,0,0,0,0,0,0,0,0,525,164,488,797,347,659,0,0,0,627,940,457,0,0,0,281,63,265,522,159,489,0,0,0,498,731,373,0,0,0,1024,641,"Human, Duelist, Terran Empire, Starfleet, Brutal, Mirror Universe","male, organic, tos, kirk, crew_max_rarity_5","Be the Captain",2, 7, 12, 10, 14, 8, 4, , , , 440, 900, 87, 550, false,"Kirk",crew_portraits_cm_mirrorkirk_sm.png,kirk_mirror_crew, 59.6042, 28.4553, 20.3885, 60.4356, 3, 0, 0, 19.2416
"Abraham Lincoln",0,5, 947,152,276,0,0,0,416,103,203,0,0,0,927,329,639,0,0,0,829,451,767,162,597,1367,0,596,0,1231,249,1076,522,0,416,937,486,863,30,730,1119,0,158,0,1047,49,928,103,0,99,899,139,"Human, Civilian, Politician, Resourceful, Inspiring, Diplomat, Cultural Figure, Clone","male, organic, tos, lincoln, crew_max_rarity_5","No Gentle Way",2, 9, 12, 5, 12, 1, 0, , , , 1250, 195, 252, 925, false,"Lincoln",crew_portraits_cm_abrahamlincoln_sm.png,abe_lincoln_crew, 70.2755, 75.4065, 62.4565, 74.8821, 6, 0, 0, 0
"Commander Chekov",0,3, 0,0,0,308,64,150,336,23,55,0,0,0,471,70,166,0,0,0,1569,1520,0,1492,0,1023,1247,997,977,1372,1210,1230,1382,0,1170,1472,1549,0,1501,0,1190,1133,935,889,1400,1358,1259,1378,0,1163,1740,1777,"Federation, Starfleet, Human, Undercover Operative, Resourceful","male, organic, tos, chekov, crew_max_rarity_3","All Flight Modes",1, 5, 8, 10, 8, , , , , , 590, , , 200, false,"Chekov",crew_portraits_cm_chekovtvh_sm.png,chekov_stiv_crew, 34.4005, 45.7317, 11.9551, 37.5551, 4, 0, 0, 0
"Commander Kor",0,3, 421,71,251,0,0,0,345,26,76,0,0,0,201,36,88,0,0,0,1404,1035,1342,1223,1199,1548,0,1575,0,1367,1440,1222,1595,0,1368,1154,1004,1097,1088,948,1577,0,1551,0,1388,1552,1246,1565,0,1338,1770,1767,"Klingon, Duelist","nonhuman, male, organic, tos, kor, crew_max_rarity_3","Ram Among the Sheep",0, 4, 8, 8, 10, 5, 2, , , , 100, 95, 3, 450, false,"Kor",crew_portraits_cm_kor_sm.png,kor_tos_crew, 29.6857, 24.7967, 15.8313, 24.4405, 3, 0, 0, 0
"Captain Kurn",0,4, 657,118,287,0,0,0,590,89,198,0,0,0,0,0,0,0,0,0,1029,593,959,1203,788,1084,0,0,0,1010,1350,865,0,0,0,971,530,906,1155,771,1189,0,0,0,1102,1415,978,0,0,0,1720,1693,"Klingon, Duelist, Resourceful","nonhuman, male, organic, tng, kurn, crew_max_rarity_4","Restored Honor",2, 7, 8, 3, 10, 1, 0, , , , 1000, 625, 290, , true,"Kurn",crew_portraits_cm_kurnkdf_sm.png,kurn_captain_crew, 38.2033, 44.3089, 50.8403, 40.3115, 3, 0, 0, 0
"Commander Maddox",0,3, 0,0,0,478,56,166,0,0,0,343,40,110,190,26,60,0,0,0,1395,0,1495,1686,0,1347,694,1082,851,1358,1692,0,1284,986,1372,1451,0,1495,1686,0,1382,718,1206,864,1355,1698,0,1370,993,1369,1771,1804,"Federation, Starfleet, Human, Cyberneticist","male, organic, tng, maddox, crew_max_rarity_3","Facing the Opposition",0, 4, 3, 6, 6, 2, 0, 2, , , 90, , 70, 165, false,"Maddox",crew_portraits_cm_brucemaddox_sm.png,maddox_commander_crew, 31.0633, 16.0569, 24.1141, 25.2623, 2, 0, 0, 20.6501
"Rescuer Tucker",0,3, 197,28,60,0,0,0,400,42,88,424,72,226,0,0,0,0,0,0,1620,1214,1026,1684,1407,1489,1091,0,0,829,1610,1169,1404,875,0,1610,1418,942,1683,1401,1554,863,0,0,836,1669,1229,1206,723,0,1758,1778,"Human, Starfleet, Jury Rigger, Tactician, Explorer","male, organic, ent, tucker, crew_max_rarity_3","Bank's Closed",1, 3, 6, 10, 10, 8, 4, , , , 315, 160, , 75, false,"Trip",crew_portraits_cm_tuckerunderpants_sm.png,tucker_rescuer_crew, 31.2573, 36.7886, 16.5375, 33.325, 5, 0, 0, 0
"Ensign Pazlar",0,2, 223,34,127,309,47,163,0,0,0,0,0,0,0,0,0,0,0,0,1180,1535,1538,1670,1390,1541,1248,1527,980,0,0,0,0,0,0,1038,1499,1477,1615,1339,1433,1149,1429,898,0,0,0,0,0,0,1869,1846,"Elaysian, Starfleet, Federation, Resourceful, Astrophysicist","nonhuman, female, organic, ds9, melora, crew_max_rarity_2","Right at Home",0, 2, 0, 12, 10, 0, 4, , , , 130, 190, 5, 475, true,"Melora",crew_portraits_cm_melorafloating_sm.png,melora_floating_crew, 16.3174, 38.8211, 17.7069, 35.8606, 3, 0, 0, 21.0401
"Duelist Barclay",0,3, 0,0,0,188,33,95,356,44,90,492,48,144,0,0,0,0,0,0,1619,1500,1337,0,0,1198,760,1579,1009,842,1647,1201,1388,866,0,1589,1519,1446,0,0,1257,808,1543,998,1006,1668,1226,1476,960,0,1764,1805,"Human, Starfleet, Federation, Innovator, Duelist, Investigator, Resourceful, Romantic","male, organic, tng, barclay, crew_max_rarity_3","Self-Taught",1, 3, 0, 10, 10, 5, 1, , , , 590, , 104, 565, true,"Barclay",crew_portraits_cm_barclayfencing_sm.png,barclay_duelist_crew, 31.7617, 48.1707, 23.2129, 40.6747, 4, 0, 0, 19.5233
"Sniper Reed",0,3, 331,92,246,0,0,0,401,98,204,0,0,0,0,0,0,0,0,0,1460,1006,1381,1550,1237,1374,0,0,0,1237,1539,1086,0,0,0,1124,601,1062,1284,914,1133,0,0,0,1060,1374,941,0,0,0,1802,1724,"Starfleet, Human, Tactician, Marksman","male, organic, ent, reed, crew_max_rarity_3","Deception and Surprise",0, 3, 6, 3, 12, 1, 0, , , , 515, 245, 15, 250, false,"Reed",crew_portraits_cm_reedsniper_sm.png,reed_sniper_crew, 22.468, 22.3577, 46.6498, 28.4721, 3, 0, 0, 20.8884
"Keevan",0,3, 486,60,156,0,0,0,0,0,0,0,0,0,303,85,199,0,0,0,1394,1375,1333,1129,1188,0,0,1502,0,0,1628,0,1519,0,1304,1457,1422,1406,938,1254,0,0,1266,0,0,1434,0,1251,0,1062,1806,1786,"Vorta, Dominion, Clone, Crafty, Brutal","nonhuman, male, organic, ds9, keevan, crew_max_rarity_3","Immoral Diplomacy",1, 7, 8, 12, 12, , , , 0, 2, 415, 185, , 330, false,"Keevan",crew_portraits_cm_keevan_sm.png,keevan_crew, 24.156, 28.6585, 13.1278, 26.1805, 4, 0, 0, 0
"Chief Engineer La Forge",0,3, 181,35,101,337,49,131,0,0,0,465,74,166,0,0,0,0,0,0,1257,1549,995,1682,1405,1526,692,1517,973,1229,0,0,1396,870,0,1174,1518,964,1643,1363,1502,668,1491,965,1204,0,0,1353,863,0,1768,1764,"Human, Starfleet, Federation, Innovator, Cyberneticist, Romantic","male, organic, tng, laforge, crew_max_rarity_3","Don't Push Your Luck",0, 5, 12, 12, 10, 7, 0, , 2, 2, 415, 150, 130, 115, false,"La Forge",crew_portraits_cm_laforgetng_sm.png,laforge_lieutenant_crew, 30.0737, 24.187, 56.5978, 34.9079, 3, 0, 0, 20.6501
"Dr. Carol Marcus",0,3, 306,70,149,450,85,209,0,0,0,0,0,0,0,0,0,0,0,0,953,1510,1497,1631,1355,1342,1074,1365,849,0,0,0,0,0,0,701,1413,1394,1525,1242,1184,897,1250,717,0,0,0,0,0,0,1813,1779,"Federation, Exobiology, Human, Civilian, Innovator","female, organic, tng, carol_marcus, crew_max_rarity_3","Master Chef",2, 5, 8, 12, 12, , , , , , 163, 225, 465, 150, false,"Marcus",crew_portraits_cm_carolmarcus_sm.png,marcus_wok_crew, 23.1859, 31.0976, 10.7751, 25.3043, 4, 0, 0, 0
"Bashir, Julian Bashir",0,5, 0,0,0,0,0,0,595,194,388,0,0,0,1009,96,199,927,194,394,0,1060,0,1034,499,948,0,865,398,893,206,47,816,320,53,0,726,0,1377,392,519,0,1252,319,510,254,17,1231,224,131,811,282,"Human, Federation, Starfleet, Physician, Engineered, Costumed, Cyberneticist, Undercover Operative, Gambler, Hero","nonhuman, male, organic, ds9, bashir, crew_max_rarity_5","Bashir, Secret Agent",1, 8, 6, 12, 12, , , , , , 1700, 225, 245, 525, false,"Bashir",crew_portraits_cm_bashirbond_sm.png,bashir_secretagent_crew, 78.2499, 56.0976, 16.2753, 79.2617, 6, 0, 1, 41.7335
"Claiborne Chekov",0,4, 381,61,121,502,79,178,624,174,365,0,0,0,0,0,0,0,0,0,894,717,1420,1585,1284,422,1037,1309,817,890,1231,739,0,0,0,927,498,1455,1599,1312,195,1006,1319,793,587,837,442,0,0,0,1588,1425,"Federation, Starfleet, Human, Costumed, Duelist","male, organic, tos, chekov, crew_max_rarity_4","Draw!",2, 6, 12, 12, 12, 7, 0, , , , 905, 520, 55, 525, false,"Chekov",crew_portraits_cm_chekovbillyclairborne_sm.png,chekov_cowboy_crew, 46.3329, 26.0163, 50.563, 46.416, 2, 0, 1, 0
"Frank Hollander",0,5, 1066,147,335,0,0,0,960,173,355,0,0,0,0,0,0,0,0,0,639,171,583,883,423,652,0,0,0,621,935,451,0,0,0,771,217,697,966,562,601,0,0,0,600,853,460,0,0,0,1109,1352,"Android, Civilian, Hologram, Costumed, Marksman, Villain","nonhuman, male, tng, artificial_life, data, crew_max_rarity_5","Howdy, Commander",1, 9, 12, 5, 12, 1, 0, 2, , , 665, 550, , 1000, false,"Data",crew_portraits_cm_datacowboy_sm.png,data_cowboy_crew, 62.0877, 31.0976, 48.0328, 59.8176, 3, 0, 1, 82.9686
"Dabo Girl Leeta",0,2, 260,24,63,0,0,0,0,0,0,0,0,0,325,38,142,0,0,0,1604,1532,1533,1327,1387,0,0,1523,0,0,1655,0,1542,0,1319,1609,1543,1549,1418,1399,0,0,1489,0,0,1634,0,1495,0,1283,1868,1879,"Bajoran, Civilian, Bartender, Romantic, Playful","female, nonhuman, organic, ds9, leeta, crew_max_rarity_2","Dabo!",2, 2, 0, 10, 14, 4, 0, , , , 95, 250, 41, 220, true,"Leeta",crew_portraits_cm_leetadabo_sm.png,leeta_dabogirl_crew, 17.9472, 30.6911, 39.7982, 37.4411, 5, 0, 0, 0
"Mora Pol",0,3, 167,21,57,431,83,221,0,0,0,0,0,0,0,0,0,310,115,313,1110,1553,1560,1689,951,1361,1084,1382,491,0,0,1103,0,886,1202,1018,1548,1556,1690,504,1144,861,1219,174,0,0,716,0,495,784,1756,1613,"Bajoran, Exobiology, Civilian","nonhuman, male, organic, ds9, mora, crew_max_rarity_3","Expression of Affection",1, 7, 8, 12, 12, , , , 2, 2, 990, 65, 25, , false,"Mora",crew_portraits_cm_morapol_sm.png,mora_crew, 27.9977, 29.2683, 13.9858, 29.296, 4, 0, 0, 0
"CMO Ogawa",0,3, 187,71,165,0,0,0,0,0,0,0,0,0,190,36,91,428,77,225,1608,1534,1537,1504,764,0,0,1578,859,0,1688,1072,1597,868,877,1399,1373,1352,1224,450,0,0,1547,687,0,1672,949,1560,707,785,1781,1709,"Human, Federation, Starfleet, Physician","female, organic, tng, ogawa, crew_max_rarity_3","Considering the History",1, 4, 10, 6, 15, 2, 0, , , , 355, , , 165, false,"Ogawa",crew_portraits_cm_ogawacoat_sm.png,ogawa_cmo_crew, 24.8545, 26.626, 49.2421, 33.8274, 3, 0, 0, 0
"Commander Kang",0,3, 206,108,312,0,0,0,369,98,262,0,0,0,359,70,158,0,0,0,1574,1042,1502,1169,1360,1376,0,1474,0,1240,1176,1088,1470,0,1271,951,442,881,662,744,982,0,1381,0,938,764,813,1402,0,1185,1731,1367,"Klingon, Duelist","nonhuman, male, organic, tos, kang, crew_max_rarity_3","That Is Loyalty",0, 5, 8, 8, 10, 0, 2, , , , 350, 115, 180, 225, false,"Kang",crew_portraits_cm_kangtos_sm.png,kang_tos_crew, 28.735, 24.7967, 16.8191, 31.6737, 3, 0, 0, 0
"Lt. Commander Nella Daren",0,3, 328,83,188,500,42,126,0,0,0,0,0,0,0,0,0,0,0,0,935,1471,1441,1603,1308,1351,1079,1369,853,0,0,0,0,0,0,924,1287,1237,1400,1081,1519,1223,1502,970,0,0,0,0,0,0,1803,1816,"Federation, Starfleet, Human, Astrophysicist, Musician","female, organic, tng, daren, crew_max_rarity_3","Metaphasic Shield",2, 3, 6, 3, 10, 3, 0, , , , 730, , 50, 600, true,"Daren",crew_portraits_cm_nelladoran_sm.png,daren_lieutenant_crew, 25.4172, 24.187, 54.6464, 31.3344, 3, 0, 0, 21.0401
"Surgeon Phlox",0,3, 274,31,73,351,51,125,0,0,0,0,0,0,0,0,0,404,80,229,1130,1524,1524,1657,762,1515,1231,1504,535,0,0,1079,0,879,1189,1265,1534,1537,1671,754,1508,1215,1495,431,0,0,923,0,681,982,1754,1752,"Denobulan, Civilian, Physician, Romantic, Exobiology","nonhuman, male, organic, ent, phlox, crew_max_rarity_3","Super Hydration",1, 3, 1, 10, 8, 6, 0, , , , , 150, 81, 75, true,"Phlox",crew_portraits_cm_phloxscrubs_sm.png,phlox_scrubs_crew, 31.7035, 39.8374, 46.712, 39.9598, 5, 0, 0, 0
"Hugh",0,3, 0,0,0,0,0,0,361,128,282,190,56,124,323,62,138,0,0,0,0,1385,1546,1627,0,1369,1273,1519,0,926,1201,1078,1172,1017,1317,0,1016,1459,1577,0,890,1206,1456,0,500,661,730,1011,972,1254,1766,1633,"Borg, Maverick, Cultural Figure, Compromised","nonhuman, male, organic, hugh, tng, crew_max_rarity_3","I Will Not",0, 4, 6, 8, 10, 6, 0, , , , 352, 120, 83, 340, false,"Hugh",crew_portraits_cm_hugh_sm.png,hugh_drone_crew, 26.8917, 52.2358, 41.6139, 42.2197, 6, 0, 0, 0
"Mara",0,3, 165,78,254,410,76,226,0,0,0,0,0,0,408,56,126,0,0,0,1004,1525,1525,1244,1377,1371,1095,959,871,0,1570,0,1435,0,1231,447,1162,1078,901,926,1154,876,814,695,0,1632,0,1494,0,1281,1739,1608,"Klingon, Communicator","nonhuman, female, organic, tos, mara, crew_max_rarity_3","We Are Hunters",0, 4, 8, 8, 10, 6, 2, , , , 750, , 65, 100, false,"Mara",crew_portraits_cm_mara_sm.png,mara_tos_crew, 30.2678, 45.122, 11.6128, 38.1216, 4, 0, 0, 0
"The Viceroy",0,3, 359,64,206,0,0,0,413,63,171,0,0,0,289,89,243,0,0,0,1467,1016,1386,1156,1244,1386,0,1499,0,1248,1203,1096,1510,0,1298,1279,820,1239,777,1084,1343,0,1159,0,1219,804,1087,1122,0,951,1729,1585,"Romulan, Reman, Telepath, Brutal, Villain","nonhuman, male, organic, tng, crew_max_rarity_3","The Praetor's Right Hand",0, 4, 8, 8, 10, 4, 2, , , , 700, 225, 118, 75, false,"Viceroy",crew_portraits_cm_remanviceroy_sm.png,viceroy_crew, 32.6154, 29.878, 15.7188, 34.5889, 4, 0, 0, 38.5915
"Lwaxana Troi",0,3, 334,62,161,0,0,0,0,0,0,0,0,0,410,125,298,0,0,0,1542,1486,1469,1117,1329,0,0,1337,0,0,1499,0,1354,0,1139,1432,1402,1381,680,1232,0,0,1000,0,0,1179,0,945,0,803,1798,1726,"Federation, Diplomat, Betazoid, Romantic, Civilian, Telepath, Ambassador, Playful","nonhuman, female, organic, tng, lwaxana, crew_max_rarity_3","I Adore Diplomacy",2, 4, 10, 12, 16, 5, 0, , , , 175, 155, 64, 490, false,"Troi",crew_portraits_cm_lwaxanatroi_sm.png,troi_lwaxana_tng_crew, 22.8172, 33.1301, 41.3624, 31.6812, 5, 0, 0, 38.2882
"Groundskeeper Boothby",0,3, 365,52,92,0,0,0,0,0,0,0,0,0,195,84,168,409,95,223,1547,1491,1475,1302,720,0,0,1556,866,0,1677,1075,1576,874,822,1577,1512,1505,1175,617,0,0,1326,659,0,1497,913,1330,662,470,1755,1683,"Federation, Civilian, Human, Botanist, Communicator, Cultural Figure","male, organic, tng, boothby, crew_max_rarity_3","Young Man's Mistake",1, 5, 8, 10, 12, , , , 0, 1, 605, 30, 210, 200, false,"Boothby",crew_portraits_cm_boothby_sm.png,boothby_groundskeeper_crew, 29.8215, 52.0325, 11.5429, 39.9594, 5, 0, 0, 0
